User,Precision,Recall,F1
1,0.9708808169024775,0.664038811400849,0.7833240002345927
2,0.9910389779839506,0.8920557913887205,0.9389459035001787
3,0.9931002631141168,0.916312916919345,0.9528738675010755
4,0.997504180147716,0.9429957550030321,0.969484399806488
5,0.9868646154124567,0.7816858702243784,0.8703058363129137
6,0.9627549180785774,0.7501516070345664,0.8410613367163311
7,0.9471232817404044,0.616737416616131,0.7337513590650934
8,0.9926357355688569,0.9120679199514857,0.9495209903300368
9,0.9937968419444586,0.9502728926622195,0.9715476589158513
10,0.9666683719392714,0.7701637355973318,0.8519461767828004
